method_id	referenceid	criteria	probe_concentration	probeid	name_show	type	cpid	name_competitor	cell_id	experiment_method	Quantitative Method	cp_concentration	remark
LDD1467	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0573	Fragment11	LDCLC0021	.	Isotope tag	100 uM	.
LDD1389	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0572	Fragment10	LDCLL0021	.	Isotope tag	500 uM	.
LDD1390	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0572	Fragment10	LDCLL0042	.	Isotope tag	500 uM	.
LDD2189	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0572	Fragment10	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1465	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0572	Fragment10	LDCLC0021	.	Isotope tag	200 uM	.
LDD1466	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0572	Fragment10	LDCLC0042	.	Isotope tag	200 uM	.
LDD1387	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0571	Fragment9	LDCLL0021	.	Isotope tag	500 uM	.
LDD1388	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0571	Fragment9	LDCLL0042	.	Isotope tag	500 uM	.
LDD2188	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0571	Fragment9	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1463	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0571	Fragment9	LDCLC0021	.	Isotope tag	200 uM	.
LDD1464	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0571	Fragment9	LDCLC0042	.	Isotope tag	200 uM	.
LDD1385	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0570	Fragment8	LDCLL0021	.	Isotope tag	500 uM	.
LDD1386	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0570	Fragment8	LDCLL0042	.	Isotope tag	500 uM	.
LDD1462	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0570	Fragment8	LDCLC0021	.	Isotope tag	200 uM	.
LDD1486	REF000131	Quantification: Probe vs (Probe+Competitor)	10 uM	LDPC0270	Johansson_61	ABPP Probe	LDCM0569	Fragment7	LDCLL0024	.	SILAC	7.5 uM	.
LDD1485	REF000131	Quantification: Probe vs (Probe+Competitor)	10 uM	LDPC0270	Johansson_61	ABPP Probe	LDCM0569	Fragment7	LDCLL0024	.	SILAC	30 uM	.
LDD1383	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0569	Fragment7	LDCLL0021	.	Isotope tag	500 uM	.
LDD1384	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0569	Fragment7	LDCLL0042	.	Isotope tag	500 uM	.
LDD2186	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0569	Fragment7	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1382	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0568	Fragment6	LDCLL0021	.	Isotope tag	500 uM	.
